IP,端口,国家
118.39.69.146,50000,KR
118.39.88.64,30071,KR
118.43.168.239,50000,KR
118.45.241.209,17186,KR
118.45.241.209,30058,KR
118.45.241.209,30039,KR
118.46.29.202,50003,KR
118.46.29.202,30052,KR
118.46.29.202,30069,KR
118.46.37.203,10586,KR
118.46.37.203,30067,KR
118.47.65.248,30012,KR
118.47.65.248,30045,KR
119.193.178.234,50000,KR
119.193.178.234,30068,KR
119.193.236.130,18783,KR
119.193.236.130,28922,KR
119.193.236.130,12121,KR
119.193.236.130,33541,KR
119.193.236.130,15768,KR
119.194.117.229,50000,KR
119.194.63.100,30067,KR
119.194.63.100,30045,KR
119.195.138.41,50004,KR
119.195.138.41,50000,KR
119.195.138.41,30059,KR
119.195.138.41,34910,KR
119.195.138.41,30027,KR
119.195.155.85,27094,KR
119.195.155.85,18388,KR
119.195.173.74,11001,KR
119.195.173.74,30109,KR
119.195.173.74,12238,KR
119.195.173.74,27145,KR
119.195.173.74,23790,KR
119.199.206.40,11166,KR
119.199.206.40,39731,KR
119.199.206.40,19729,KR
119.199.206.40,23860,KR
119.201.28.118,24601,KR
119.201.98.109,50000,KR
119.201.99.87,29411,KR
119.202.255.115,12380,KR
119.202.255.115,17133,KR
119.202.255.115,13426,KR
119.203.123.80,50000,KR
119.203.163.122,50000,KR
119.207.11.3,38246,KR
119.207.11.3,35731,KR
119.56.175.56,12763,KR
119.56.175.56,16673,KR
119.56.175.56,12406,KR
119.65.35.44,50000,KR
119.66.172.143,50000,KR
119.8.238.73,81,HK
120.142.220.79,38254,KR
120.142.220.79,19978,KR
121.131.180.71,50000,KR
121.131.27.49,25328,KR
121.131.27.49,23389,KR
121.135.81.139,30050,KR
121.139.174.91,50000,KR
121.153.36.122,30034,KR
121.153.36.122,30073,KR
121.154.105.47,50000,KR
121.154.68.40,31870,KR
121.154.68.40,19720,KR
121.154.68.40,26471,KR
121.154.68.40,25270,KR
121.154.68.40,34005,KR
121.154.68.40,26186,KR
121.154.68.40,25079,KR
121.154.68.40,17244,KR
121.154.68.40,22256,KR
121.154.68.40,16040,KR
121.154.68.40,13282,KR
121.154.68.40,15273,KR
121.154.68.40,11937,KR
121.154.79.130,10126,KR
121.155.14.99,30053,KR
121.155.154.142,24251,KR
121.155.154.142,24603,KR
121.155.154.142,39595,KR
121.155.154.142,14807,KR
121.155.240.168,50000,KR
121.157.26.220,50004,KR
121.157.26.220,30044,KR
121.157.26.220,50000,KR
121.158.194.32,11413,KR
121.158.194.32,11611,KR
121.158.27.207,50000,KR
121.162.14.67,17298,KR
121.162.14.67,26093,KR
121.162.14.67,22480,KR
121.162.197.175,10103,KR
121.162.197.175,11204,KR
121.162.197.175,36514,KR
121.162.197.175,39904,KR
121.162.197.175,22187,KR
121.162.197.175,18397,KR
121.162.197.175,26854,KR
121.162.197.175,38606,KR
121.162.197.175,37353,KR
121.162.197.175,10986,KR
121.162.197.175,10848,KR
121.162.197.175,23984,KR
121.165.101.69,19413,KR
121.166.174.182,50000,KR
121.167.145.40,10843,KR
121.167.145.40,25156,KR
121.167.145.40,30079,KR
121.167.15.173,50000,KR
121.167.15.173,50003,KR
121.168.144.41,50000,KR
121.169.173.210,50000,KR
121.169.228.177,18817,KR
121.169.228.177,17050,KR
121.169.228.177,16157,KR
121.169.228.177,24735,KR
121.169.228.177,35805,KR
121.171.82.130,50000,KR
121.171.82.130,30012,KR
121.171.82.130,30001,KR
121.171.82.130,30055,KR
121.172.5.248,16913,KR
121.172.5.248,18583,KR
121.172.5.248,34689,KR
121.176.15.93,30012,KR
121.176.15.93,30055,KR
121.176.199.103,30017,KR
121.176.199.103,30052,KR
121.179.114.244,30075,KR
121.179.59.233,10692,KR
121.179.59.233,10443,KR
121.180.99.17,39536,KR
121.181.106.59,50003,KR
121.181.119.94,16682,KR
121.183.215.236,30644,KR
121.183.215.236,23512,KR
121.185.11.236,15480,KR
121.185.11.236,38963,KR
121.185.11.236,30837,KR
121.185.11.236,11652,KR
121.187.149.211,50000,KR
121.187.176.122,28626,KR
121.187.176.122,32500,KR
121.187.176.122,10919,KR
121.187.220.167,23414,KR
121.187.220.167,35741,KR
121.187.220.167,10726,KR
121.187.220.167,33339,KR
121.188.107.204,23805,KR
121.188.107.204,26413,KR
121.85.55.59,19842,JP
121.87.0.21,11588,JP
122.10.12.135,63168,HK
122.10.17.144,63168,HK
122.10.50.98,63168,HK
122.210.19.25,20087,JP
122.210.19.25,38647,JP
122.210.19.25,28045,JP
122.210.19.25,20873,JP
122.210.19.25,21807,JP
122.252.209.48,50000,KR
123.142.67.164,29461,KR
123.142.67.164,50000,KR
123.143.106.99,50000,KR
123.143.9.5,14041,KR
123.214.130.71,50003,KR
124.153.168.248,50000,KR
124.156.129.206,6666,HK
124.216.60.169,36004,KR
124.216.60.169,29850,KR
124.216.60.169,11804,KR
124.216.60.169,10325,KR
124.244.92.109,25203,HK
124.48.225.132,50000,KR
124.5.180.192,50000,KR
124.5.96.248,50000,KR
125.130.15.106,27879,KR
125.130.15.106,20280,KR
125.130.77.30,25400,KR
125.130.77.30,29704,KR
125.131.159.38,30005,KR
125.135.123.97,19984,KR
125.139.138.180,23105,KR
125.176.156.67,50000,KR
125.176.156.67,30059,KR
125.176.156.67,30061,KR
125.178.21.16,36009,KR
125.178.21.16,35074,KR
125.178.43.173,50000,KR
125.187.120.122,11181,KR
125.189.3.38,12704,KR
128.1.132.82,443,HK
128.1.18.29,443,JP
128.1.79.171,587,TH
128.199.171.100,2053,SG
128.199.171.100,8443,SG
128.199.18.189,2053,IN
129.150.36.188,53435,SG
129.150.41.174,16462,SG
129.150.49.58,18650,SG
129.150.50.21,44009,SG
129.150.58.86,57621,SG
129.154.207.203,443,KR
129.154.223.89,15800,KR
129.154.48.176,36355,KR
129.154.54.67,19567,KR
129.154.63.46,54077,KR
13.228.142.218,443,SG
13.228.155.72,443,SG
13.229.159.215,443,SG
13.230.34.30,443,JP
13.233.5.49,443,IN
13.250.131.37,443,SG
13.250.14.76,443,SG
130.162.144.191,443,KR
131.186.18.212,28887,KR
131.186.20.178,27194,KR
131.186.20.178,24960,KR
131.186.24.124,587,KR
131.186.31.253,36688,KR
131.186.33.175,443,JP
131.186.63.89,11655,JP
132.145.116.192,44009,JP
132.145.120.167,37044,JP
132.145.123.180,61731,JP
132.145.124.43,12509,JP
132.145.124.43,12502,JP
132.145.124.43,12510,JP
132.145.126.40,32498,JP
132.145.84.148,39567,KR
132.145.94.80,443,KR
132.226.20.13,587,KR
132.226.21.116,6056,KR
132.226.236.86,32505,KR
132.226.8.109,43257,JP
132.226.8.189,18104,JP
134.122.185.75,25507,SG
134.195.137.107,22473,IN
138.2.10.149,45638,JP
138.2.10.217,27446,JP
138.2.100.221,26621,SG
138.2.101.213,15204,SG
138.2.12.10,45805,JP
138.2.12.103,14453,JP
138.2.12.103,14458,JP
138.2.122.197,39863,KR
138.2.127.24,587,KR
138.2.18.82,8880,JP
138.2.19.1,61731,JP
138.2.19.28,61731,JP
138.2.23.218,47598,JP
138.2.32.76,15821,JP
138.2.36.157,8443,JP
138.2.48.109,26412,JP
138.2.49.197,587,JP
138.2.54.190,37911,JP
138.2.56.246,443,JP
138.2.59.96,10129,JP
138.2.69.236,23334,SG
138.2.74.219,28616,SG
138.2.75.219,39341,SG
138.2.77.179,30018,SG
138.2.81.243,45319,SG
138.2.89.238,43254,SG
138.2.89.64,32962,SG
138.2.90.127,55555,SG
138.2.91.98,9711,SG
138.2.95.61,1111,SG
138.3.215.231,44784,JP
138.3.222.124,46209,JP
139.162.102.152,7002,JP
139.162.127.39,18836,JP
139.162.127.55,18836,JP
139.162.33.248,587,SG
139.162.48.174,10000,SG
139.162.84.132,18836,JP
139.162.86.209,18836,JP
139.180.215.77,57878,SG
139.59.48.26,8443,IN
14.33.132.138,12624,KR
14.33.132.138,38975,KR
14.33.132.138,32176,KR
14.33.132.138,19278,KR
14.33.132.138,29529,KR
14.33.77.185,33601,KR
14.33.77.185,10850,KR
14.33.77.185,29138,KR
14.33.77.185,29374,KR
14.34.173.234,33315,KR
14.35.29.177,15211,KR
14.35.29.177,15903,KR
14.38.164.139,30046,KR
14.38.164.139,50003,KR
14.39.172.147,31316,KR
14.39.172.147,30069,KR
14.39.172.147,30058,KR
14.39.172.147,30077,KR
14.4.47.67,50001,KR
14.43.209.58,36636,KR
14.45.249.246,50000,KR
14.46.110.161,50003,KR
14.46.110.161,30074,KR
14.46.130.32,30061,KR
14.46.225.3,10003,KR
14.47.160.140,30072,KR
14.47.160.140,30061,KR
14.48.170.40,50000,KR
14.52.132.109,30057,KR
14.52.132.109,50000,KR
14.63.31.210,30054,KR
14.63.31.210,30067,KR
140.238.10.44,23253,KR
140.238.37.103,14782,JP
140.238.5.75,13644,KR
140.238.56.153,1443,JP
140.238.62.82,1443,JP
140.245.34.185,59320,SG
140.83.35.254,48170,JP
140.83.37.134,46478,JP
140.83.56.110,56417,JP
140.83.57.114,25965,JP
140.83.57.183,22735,JP
140.83.57.20,13118,JP
140.83.59.158,15805,JP
140.83.83.229,14829,JP
141.11.148.60,8080,HK
141.11.175.133,8080,HK
141.11.175.174,20368,HK
141.11.216.39,8080,HK
141.11.218.249,8080,HK
141.11.218.253,8080,HK
141.11.219.114,8080,HK
141.11.77.248,8080,HK
141.11.78.77,8080,HK
141.11.79.31,8080,HK
141.11.86.109,8080,TW
141.11.86.94,18333,TW
141.11.87.111,8080,TW
141.11.91.67,8080,HK
141.147.144.15,13357,JP
141.147.144.246,8080,JP
141.147.147.180,443,JP
141.147.152.229,23333,JP
141.147.155.5,54443,JP
141.147.161.249,51037,JP
141.147.163.68,443,JP
141.147.183.49,29876,JP
141.147.184.160,443,JP
141.147.186.249,4308,JP
141.148.203.6,443,IN
141.98.197.101,11665,JP
141.98.234.14,2053,HK
141.98.234.63,24443,HK
143.244.128.205,2053,IN
143.244.128.205,8443,IN
143.244.130.180,443,IN
143.42.66.91,443,SG
143.42.68.97,17055,SG
144.24.72.93,587,KR
144.24.84.212,49888,KR
144.24.87.69,50001,KR
146.190.111.165,443,SG
146.235.18.248,45137,SG
146.235.19.79,28983,SG
146.56.107.41,27306,KR
146.56.110.148,26778,KR
146.56.112.139,19276,KR
146.56.140.79,22561,KR
146.56.140.79,44699,KR
146.56.140.79,20309,KR
146.56.151.224,29349,KR
146.56.162.25,443,KR
146.56.169.67,16818,KR
146.56.172.216,39001,KR
146.56.179.20,8000,KR
146.56.182.217,54266,KR
146.56.44.226,55555,KR
146.56.48.138,23010,IN
146.56.98.125,34540,KR
146.56.99.255,56789,KR
147.45.49.152,2053,JP
147.45.49.164,24443,JP
147.45.49.184,2053,JP
147.45.49.185,2053,JP
147.45.49.186,2053,JP
147.75.225.105,443,KR
147.75.230.160,443,IN
147.75.230.207,443,IN
147.75.230.33,443,IN
147.78.246.201,56656,JP
147.92.41.167,1009,HK
147.92.41.168,1009,HK
147.92.41.169,1009,HK
148.113.43.228,2053,IN
148.113.43.228,8443,IN
149.104.24.14,8443,HK
149.129.8.215,443,KR
149.28.21.106,443,JP
149.28.30.146,44243,JP
15.165.121.25,443,KR
15.235.162.49,443,SG
15.235.199.103,8443,SG
15.235.199.103,2053,SG
150.109.24.233,6666,SG
150.109.94.144,8900,SG
