IP,端口,国家
221.161.58.134,36376,KR
221.161.58.134,10334,KR
221.161.58.134,29264,KR
221.163.88.207,50000,KR
221.166.160.53,11311,KR
221.166.160.53,36420,KR
221.166.160.53,12089,KR
221.166.160.53,15635,KR
221.166.160.53,10233,KR
222.101.91.204,50000,KR
222.102.71.32,50000,KR
222.102.84.36,50000,KR
222.103.185.193,24656,KR
222.103.185.193,30012,KR
222.103.185.193,50586,KR
222.103.185.193,11011,KR
222.103.185.193,16656,KR
222.103.185.193,20438,KR
222.106.126.224,50000,KR
222.107.125.203,30070,KR
222.111.243.171,35034,KR
222.111.243.171,33023,KR
222.113.74.67,50000,KR
222.114.189.204,16850,KR
222.114.189.204,10373,KR
222.120.119.146,50000,KR
222.97.28.213,50000,KR
23.106.131.99,42619,JP
23.106.143.190,39027,JP
23.226.8.80,443,HK
23.226.8.80,444,HK
27.0.234.74,2911,SG
27.100.189.152,50000,KR
27.100.229.147,50000,KR
3.1.116.161,2053,SG
3.1.116.161,8443,SG
3.109.185.221,443,IN
3.111.155.29,443,IN
3.112.21.102,443,JP
3.113.64.82,443,JP
3.7.108.69,443,IN
31.192.238.71,8443,SG
31.192.238.71,2053,SG
34.92.105.182,57820,HK
35.200.202.118,443,IN
35.200.238.235,443,IN
35.201.203.106,443,TW
35.77.126.144,443,JP
36.50.90.241,35951,HK
36.50.90.241,47790,HK
37.128.252.113,31141,TW
37.128.252.196,8080,TW
38.180.28.163,8443,JP
38.180.28.163,2053,JP
38.180.29.115,443,JP
38.180.94.174,20627,HK
38.180.94.174,35521,HK
38.181.70.7,16240,SG
38.207.172.235,8003,HK
38.47.104.219,35149,JP
38.54.16.95,2053,SG
38.54.30.6,443,VN
38.6.219.16,8080,HK
39.114.198.93,13329,KR
39.116.19.171,50004,KR
39.126.15.253,50000,KR
4.230.8.95,443,KR
43.128.95.84,38091,SG
43.129.160.101,54739,HK
43.129.171.137,443,HK
43.129.69.6,53101,HK
43.129.69.6,53116,HK
43.132.110.81,33683,HK
43.132.180.125,42010,HK
43.132.244.52,21415,HK
43.132.249.68,48908,HK
43.133.10.236,33405,JP
43.134.181.60,38371,SG
43.135.30.215,47161,HK
43.135.44.101,30002,HK
43.154.106.198,6696,HK
43.154.124.136,26666,HK
43.154.182.110,38474,HK
43.154.182.110,28229,HK
43.154.196.20,65121,HK
43.154.34.74,1935,HK
43.154.37.247,4397,HK
43.154.40.135,10334,HK
43.155.22.176,443,HK
43.155.83.86,38002,HK
43.155.84.76,55527,HK
43.155.89.93,55527,HK
43.156.116.194,443,SG
43.156.181.203,443,SG
43.156.253.94,443,SG
43.156.26.205,23654,SG
43.159.196.17,443,HK
43.163.207.12,52025,JP
43.229.149.251,8443,TH
43.229.149.251,2053,TH
43.245.198.240,587,SG
43.249.172.15,443,HK
43.252.41.204,2443,HK
45.11.1.118,44004,JP
45.12.134.250,2053,JP
45.12.134.250,8443,JP
45.136.197.252,443,HK
45.136.238.235,24370,TH
45.144.167.46,19816,TH
45.149.186.112,8080,HK
45.207.218.146,1233,HK
45.32.100.46,13802,SG
45.32.255.20,46326,JP
45.32.59.97,34567,JP
45.39.198.40,8080,JP
45.39.198.43,8080,JP
45.66.129.8,1233,JP
45.66.218.194,12965,JP
45.76.183.217,49292,SG
45.76.192.129,24434,JP
45.76.195.196,26731,JP
45.76.198.248,443,JP
45.77.130.245,443,JP
45.77.25.6,27854,JP
45.77.25.6,48828,JP
45.78.61.49,10484,JP
45.78.62.46,16471,JP
45.87.103.154,57012,HK
45.87.103.154,57010,HK
46.149.203.201,7656,HK
46.149.203.202,7656,HK
46.149.203.203,7656,HK
46.232.122.240,8000,HK
47.236.119.190,51342,SG
47.236.173.166,587,SG
47.236.181.185,8443,SG
47.236.22.194,52324,SG
47.236.246.163,14108,SG
47.236.25.107,27903,SG
47.236.86.17,49257,SG
47.238.184.148,587,HK
47.238.226.62,58009,HK
47.239.231.62,7443,HK
47.239.27.174,5534,HK
47.240.20.7,3445,HK
47.242.169.69,52721,HK
47.242.171.138,37021,HK
47.243.128.70,11997,HK
47.245.59.226,59215,JP
47.245.91.197,9000,SG
47.245.95.160,1443,SG
47.57.13.107,443,HK
47.57.233.126,443,HK
47.57.245.232,443,HK
47.74.254.191,8900,SG
47.76.218.163,443,HK
47.89.39.186,39251,HK
47.91.18.127,443,JP
49.142.238.207,50000,KR
49.166.108.89,24791,KR
49.166.108.89,11636,KR
49.166.108.89,36983,KR
49.166.108.89,39632,KR
49.166.108.89,38043,KR
49.166.108.89,17485,KR
49.166.202.100,30045,KR
49.166.202.100,30065,KR
49.167.61.27,14460,KR
49.167.61.27,23084,KR
49.167.61.27,27542,KR
49.167.61.27,15326,KR
49.167.61.27,17943,KR
49.167.61.27,19412,KR
49.167.61.27,28209,KR
49.167.61.27,13623,KR
49.167.61.27,20876,KR
49.167.61.27,14870,KR
49.167.61.27,21838,KR
49.167.61.27,19098,KR
49.167.61.27,37798,KR
49.167.62.11,24904,KR
49.171.120.159,12534,KR
49.171.243.145,50027,KR
49.171.243.145,30055,KR
49.171.243.145,30049,KR
49.171.48.200,23391,KR
49.171.48.200,50003,KR
49.171.48.200,50000,KR
49.171.48.200,20215,KR
49.171.48.200,31218,KR
49.171.48.200,20040,KR
49.171.48.200,11936,KR
49.171.48.200,30078,KR
49.172.26.191,30068,KR
49.172.26.191,30061,KR
49.175.158.24,50000,KR
49.246.39.46,11325,KR
49.246.39.46,38904,KR
49.246.39.46,29446,KR
49.246.39.46,23132,KR
5.188.33.21,57602,HK
5.223.49.4,2053,SG
5.34.176.119,81,SG
51.79.158.126,443,SG
51.79.158.58,2053,SG
51.79.158.58,8443,SG
51.79.254.182,443,SG
52.141.25.42,443,KR
54.169.229.188,443,SG
54.180.202.133,2053,KR
54.180.202.133,8443,KR
54.248.121.219,443,JP
54.249.135.43,443,JP
58.127.171.195,50006,KR
58.230.90.195,50004,KR
58.65.124.83,19761,KR
58.72.194.86,50000,KR
58.78.224.238,50000,KR
59.0.150.215,30086,KR
59.11.31.107,36183,KR
59.11.31.107,17927,KR
59.11.31.107,30063,KR
59.11.31.107,13844,KR
59.11.31.107,30906,KR
59.11.31.107,38203,KR
59.11.31.107,31269,KR
59.11.31.107,11758,KR
59.11.31.107,34637,KR
59.11.31.107,11815,KR
59.11.31.107,27131,KR
59.11.31.107,13863,KR
59.12.130.171,12153,KR
59.12.130.171,14680,KR
59.12.130.171,13851,KR
59.12.130.171,27738,KR
59.12.130.171,30852,KR
59.12.130.171,27972,KR
59.12.130.171,17151,KR
59.127.80.162,12224,TW
59.14.189.65,21757,KR
59.14.189.65,30095,KR
59.14.189.65,29707,KR
59.14.189.65,30057,KR
59.148.95.13,20746,HK
59.15.182.92,50000,KR
59.15.182.92,30019,KR
59.15.182.92,23549,KR
59.15.182.92,30016,KR
59.15.182.92,24550,KR
59.15.182.92,25962,KR
59.15.182.92,30017,KR
59.15.182.92,22485,KR
59.18.142.93,29443,KR
59.18.142.93,15675,KR
59.18.142.93,19237,KR
59.18.142.93,34774,KR
59.18.142.93,11280,KR
59.2.114.243,22122,KR
59.2.114.243,25224,KR
59.22.88.168,50000,KR
59.26.30.111,17141,KR
59.26.30.111,31796,KR
59.26.30.111,21632,KR
59.26.30.111,25568,KR
59.26.30.111,13364,KR
59.26.30.111,36840,KR
59.26.30.111,11559,KR
59.26.30.111,17682,KR
59.29.207.11,36215,KR
59.29.207.11,30066,KR
59.29.59.109,30059,KR
59.5.26.56,25854,KR
59.5.26.56,38781,KR
59.5.26.56,23132,KR
59.5.53.119,14982,KR
59.5.53.119,10098,KR
59.5.53.119,18548,KR
59.5.53.119,23349,KR
59.5.53.119,20315,KR
59.8.76.12,30052,KR
59.9.247.225,10993,KR
60.249.114.181,26398,TW
60.249.114.181,32003,TW
60.249.114.181,21574,TW
61.222.146.15,28227,TW
61.36.172.75,50000,KR
61.36.58.170,30047,KR
61.36.58.170,30051,KR
61.37.230.26,31173,KR
61.63.235.53,25957,TW
61.73.36.4,36863,KR
61.73.36.4,20364,KR
61.73.36.4,25700,KR
61.73.36.4,25388,KR
61.74.124.238,17696,KR
61.74.124.238,24346,KR
61.74.124.238,13554,KR
61.74.124.238,19841,KR
61.74.124.238,14921,KR
61.74.124.238,16276,KR
61.74.124.238,11534,KR
61.74.124.238,19920,KR
61.74.124.238,22697,KR
61.74.124.238,35512,KR
61.76.198.73,50000,KR
61.76.198.73,30066,KR
61.80.99.5,32941,KR
61.80.99.5,10199,KR
61.83.219.114,14491,KR
61.85.119.243,50000,KR
61.85.76.39,50000,KR
62.192.175.43,12009,HK
62.72.163.177,886,HK
62.72.163.178,886,HK
62.72.163.52,8443,HK
64.110.101.90,55007,JP
64.110.104.30,443,JP
64.110.70.205,23022,KR
64.176.39.147,16387,JP
64.176.40.224,3533,JP
64.176.42.6,443,JP
64.227.184.166,8443,IN
64.49.14.41,2053,SG
64.49.14.41,8443,SG
65.1.147.200,35979,IN
65.20.74.136,2053,IN
65.20.76.125,8443,IN
65.20.82.22,443,IN
66.203.144.240,7656,HK
66.203.144.241,7656,HK
66.203.144.242,7656,HK
66.203.150.210,7656,HK
66.203.150.211,7656,HK
66.203.150.212,7656,HK
68.183.179.5,8443,SG
68.183.179.5,2053,SG
8.209.220.155,587,JP
8.209.220.50,21273,JP
8.210.142.146,12346,HK
8.210.152.145,26651,HK
8.210.200.31,11991,HK
8.210.7.36,43891,HK
8.213.137.24,443,KR
8.213.224.55,587,TH
8.216.81.183,3939,JP
8.217.229.36,43803,HK
8.217.26.121,38767,HK
8.217.45.101,47243,HK
8.217.45.219,42291,HK
8.217.45.219,18251,HK
8.218.107.42,6669,HK
8.218.142.77,587,HK
8.218.194.79,59882,HK
8.218.245.116,49701,HK
8.218.245.116,41528,HK
8.218.245.116,42805,HK
8.219.1.169,443,SG
8.219.14.21,23943,SG
8.219.237.57,31523,SG
8.219.58.164,57373,SG
8.219.59.132,48130,SG
8.219.59.132,48964,SG
8.219.59.208,11178,SG
8.219.77.72,5027,SG
8.222.129.175,58808,SG
8.222.165.104,443,SG
8.222.178.214,6666,SG
8.222.220.81,25435,SG
8.222.243.73,26385,SG
82.152.163.172,1233,HK
82.152.163.227,443,HK
82.163.16.69,8080,JP
83.142.30.4,2096,SG
83.142.30.5,2096,SG
83.147.13.199,443,TW
83.147.2.104,8080,HK
83.147.3.165,8080,HK
85.208.104.136,8080,HK
85.208.104.34,8080,HK
85.208.108.25,8644,JP
85.208.110.5,2053,JP
85.208.110.52,8443,JP
85.208.110.52,2053,JP
91.192.81.154,2053,SG
91.192.81.154,8443,SG
91.194.160.121,2053,JP
91.194.160.45,2053,JP
91.194.160.45,8443,JP
91.194.160.79,2053,JP
91.194.160.79,8443,JP
91.217.139.121,8443,HK
91.217.139.227,8443,HK
91.229.132.49,8080,HK
94.177.131.183,2053,JP
94.177.131.183,8443,JP
97.74.82.87,45837,SG
